"","sampleName","Year","Tissue","Phenology","indexer","Rootstock","Irrigation","Row","Block"
"A1Y1_001_L","A1Y1_001_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_A_2","1103P","None","8","A"
"A1Y1_002_L","A1Y1_002_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_A_3","1103P","None","8","A"
"A1Y1_003_L","A1Y1_003_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_B_2","3309C","None","8","A"
"A1Y1_004_L","A1Y1_004_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_B_2","3309C","None","8","A"
"A1Y1_005_L","A1Y1_005_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_C_2","SO4","None","8","A"
"A1Y1_006_L","A1Y1_006_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_C_3","SO4","None","8","A"
"A1Y1_007_L","A1Y1_007_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_D_2","Ungrafted","None","8","A"
"A1Y1_008_L","A1Y1_008_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_D_3","Ungrafted","None","8","A"
"A1Y1_009_L","A1Y1_009_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_010_L","A1Y1_010_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_011_L","A1Y1_011_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_B_2","1103P","RDI","9","A"
"A1Y1_012_L","A1Y1_012_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_B_3","1103P","RDI","9","A"
"A1Y1_013_L","A1Y1_013_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_C_2","3309C","RDI","9","A"
"A1Y1_014_L","A1Y1_014_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_C_3","3309C","RDI","9","A"
"A1Y1_015_L","A1Y1_015_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_D_2","SO4","RDI","9","A"
"A1Y1_016_L","A1Y1_016_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_D_3","SO4","RDI","9","A"
"A1Y1_017_L","A1Y1_017_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_A_2","3309C","Full","10","A"
"A1Y1_018_L","A1Y1_018_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_A_3","3309C","Full","10","A"
"A1Y1_020_L","A1Y1_020_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_B_3","SO4","Full","10","A"
"A1Y1_021_L","A1Y1_021_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_C_2","Ungrafted","Full","10","A"
"A1Y1_022_L","A1Y1_022_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_C_3","Ungrafted","Full","10","A"
"A1Y1_023_L","A1Y1_023_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_D_2","1103P","Full","10","A"
"A1Y1_024_L","A1Y1_024_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_D_3","1103P","Full","10","A"
"A1Y1_025_L","A1Y1_025_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_A_2","3309C","RDI","11","B"
"A1Y1_026_L","A1Y1_026_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_A_3","3309C","RDI","11","B"
"A1Y1_027_L","A1Y1_027_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_B_2","1103P","RDI","11","B"
"A1Y1_028_L","A1Y1_028_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_B_3","1103P","RDI","11","B"
"A1Y1_029_L","A1Y1_029_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_031_L","A1Y1_031_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_D_2","SO4","RDI","11","B"
"A1Y1_032_L","A1Y1_032_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_D_3","SO4","RDI","11","B"
"A1Y1_033_L","A1Y1_033_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_A_2","1103P","Full","12","B"
"A1Y1_034_L","A1Y1_034_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_A_3","1103P","Full","12","B"
"A1Y1_035_L","A1Y1_035_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_B_2","Ungrafted","Full","12","B"
"A1Y1_036_L","A1Y1_036_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_B_3","Ungrafted","Full","12","B"
"A1Y1_037_L","A1Y1_037_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_C_2","SO4","Full","12","B"
"A1Y1_038_L","A1Y1_038_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_C_3","SO4","Full","12","B"
"A1Y1_039_L","A1Y1_039_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_D_2","3309C","Full","12","B"
"A1Y1_040_L","A1Y1_040_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_D_3","3309C","Full","12","B"
"A1Y1_041_L","A1Y1_041_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_A_2","SO4","None","13","B"
"A1Y1_042_L","A1Y1_042_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_A_3","SO4","None","13","B"
"A1Y1_043_L","A1Y1_043_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_B_2","3309C","None","13","B"
"A1Y1_044_L","A1Y1_044_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_B_3","3309C","None","13","B"
"A1Y1_045_L","A1Y1_045_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_C_2","1103P","None","13","B"
"A1Y1_046_L","A1Y1_046_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_C_3","1103P","None","13","B"
"A1Y1_047_L","A1Y1_047_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_D_2","Ungrafted","None","13","B"
"A1Y1_048_L","A1Y1_048_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_D_3","Ungrafted","None","13","B"
"A1Y1_049_L","A1Y1_049_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_A_2","3309C","RDI","14","C"
"A1Y1_050_L","A1Y1_050_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_A_3","3309C","RDI","14","C"
"A1Y1_051_L","A1Y1_051_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_B_2","SO4","RDI","14","C"
"A1Y1_052_L","A1Y1_052_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_B_3","SO4","RDI","14","C"
"A1Y1_053_L","A1Y1_053_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_C_2","Ungrafted","RDI","14","C"
"A1Y1_054_L","A1Y1_054_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_C_3","Ungrafted","RDI","14","C"
"A1Y1_055_L","A1Y1_055_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_D_2","1103P","RDI","14","C"
"A1Y1_056_L","A1Y1_056_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_D_3","1103P","RDI","14","C"
"A1Y1_057_L","A1Y1_057_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_A_2","Ungrafted","None","15","C"
"A1Y1_058_L","A1Y1_058_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_A_3","Ungrafted","None","15","C"
"A1Y1_059_L","A1Y1_059_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_B_2","3309C","None","15","C"
"A1Y1_060_L","A1Y1_060_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_B_3","3309C","None","15","C"
"A1Y1_061_L","A1Y1_061_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_C_2","1103P","None","15","C"
"A1Y1_062_L","A1Y1_062_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_C_3","1103P","None","15","C"
"A1Y1_063_L","A1Y1_063_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_D_2","SO4","None","15","C"
"A1Y1_064_L","A1Y1_064_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_15_D_3","SO4","None","15","C"
"A1Y1_065_L","A1Y1_065_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_A_2","1103P","Full","16","C"
"A1Y1_066_L","A1Y1_066_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_A_3","1103P","Full","16","C"
"A1Y1_067_L","A1Y1_067_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_B_2","Ungrafted","Full","16","C"
"A1Y1_068_L","A1Y1_068_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_B_3","Ungrafted","Full","16","C"
"A1Y1_069_L","A1Y1_069_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_C_2","SO4","Full","16","C"
"A1Y1_070_L","A1Y1_070_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_C_3","SO4","Full","16","C"
"A1Y1_071_L","A1Y1_071_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_D_2","3309C","Full","16","C"
"A1Y1_072_L","A1Y1_072_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_16_D_3","3309C","Full","16","C"
"A1Y1_073_L","A1Y1_073_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_A_2","1103P","None","8","A"
"A1Y1_074_L","A1Y1_074_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_A_3","1103P","None","8","A"
"A1Y1_075_L","A1Y1_075_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_B_2","3309C","None","8","A"
"A1Y1_076_L","A1Y1_076_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_B_3","3309C","None","8","A"
"A1Y1_077_L","A1Y1_077_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_C_2","SO4","None","8","A"
"A1Y1_078_L","A1Y1_078_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_C_3","SO4","None","8","A"
"A1Y1_079_L","A1Y1_079_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_D_2","Ungrafted","None","8","A"
"A1Y1_080_L","A1Y1_080_L","2017","Leaf","Veraison","2017_Veraison_Leaf_8_D_3","Ungrafted","None","8","A"
"A1Y1_081_L","A1Y1_081_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_082_L","A1Y1_082_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_083_L","A1Y1_083_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_B_2","1103P","RDI","9","A"
"A1Y1_084_L","A1Y1_084_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_B_3","1103P","RDI","9","A"
"A1Y1_085_L","A1Y1_085_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_C_2","3309C","RDI","9","A"
"A1Y1_086_L","A1Y1_086_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_C_3","3309C","RDI","9","A"
"A1Y1_087_L","A1Y1_087_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_D_2","SO4","RDI","9","A"
"A1Y1_088_L","A1Y1_088_L","2017","Leaf","Veraison","2017_Veraison_Leaf_9_D_3","SO4","RDI","9","A"
"A1Y1_089_L","A1Y1_089_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_A_2","3309C","Full","10","A"
"A1Y1_090_L","A1Y1_090_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_A_3","3309C","Full","10","A"
"A1Y1_092_L","A1Y1_092_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_B_3","SO4","Full","10","A"
"A1Y1_093_L","A1Y1_093_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_C_2","Ungrafted","Full","10","A"
"A1Y1_094_L","A1Y1_094_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_C_3","Ungrafted","Full","10","A"
"A1Y1_095_L","A1Y1_095_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_D_2","1103P","Full","10","A"
"A1Y1_096_L","A1Y1_096_L","2017","Leaf","Veraison","2017_Veraison_Leaf_10_D_3","1103P","Full","10","A"
"A1Y1_097_L","A1Y1_097_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_A_2","3309C","RDI","11","B"
"A1Y1_098_L","A1Y1_098_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_A_3","3309C","RDI","11","B"
"A1Y1_099_L","A1Y1_099_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_B_2","1103P","RDI","11","B"
"A1Y1_100_L","A1Y1_100_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_B_3","1103P","RDI","11","B"
"A1Y1_101_L","A1Y1_101_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_102_L","A1Y1_102_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_C_3","Ungrafted","RDI","11","B"
"A1Y1_103_L","A1Y1_103_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_D_2","SO4","RDI","11","B"
"A1Y1_104_L","A1Y1_104_L","2017","Leaf","Veraison","2017_Veraison_Leaf_11_D_3","SO4","RDI","11","B"
"A1Y1_105_L","A1Y1_105_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_A_2","1103P","Full","12","B"
"A1Y1_106_L","A1Y1_106_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_A_3","1103P","Full","12","B"
"A1Y1_107_L","A1Y1_107_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_B_2","Ungrafted","Full","12","B"
"A1Y1_108_L","A1Y1_108_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_B_3","Ungrafted","Full","12","B"
"A1Y1_109_L","A1Y1_109_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_C_2","SO4","Full","12","B"
"A1Y1_110_L","A1Y1_110_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_C_3","SO4","Full","12","B"
"A1Y1_111_L","A1Y1_111_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_D_2","3309C","Full","12","B"
"A1Y1_112_L","A1Y1_112_L","2017","Leaf","Veraison","2017_Veraison_Leaf_12_D_3","3309C","Full","12","B"
"A1Y1_113_L","A1Y1_113_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_A_2","SO4","None","13","B"
"A1Y1_114_L","A1Y1_114_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_A_3","SO4","None","13","B"
"A1Y1_115_L","A1Y1_115_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_B_2","3309C","None","13","B"
"A1Y1_116_L","A1Y1_116_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_B_3","3309C","None","13","B"
"A1Y1_117_L","A1Y1_117_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_C_2","1103P","None","13","B"
"A1Y1_118_L","A1Y1_118_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_C_3","1103P","None","13","B"
"A1Y1_119_L","A1Y1_119_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_D_2","Ungrafted","None","13","B"
"A1Y1_120_L","A1Y1_120_L","2017","Leaf","Veraison","2017_Veraison_Leaf_13_D_3","Ungrafted","None","13","B"
"A1Y1_121_L","A1Y1_121_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_A_2","3309C","RDI","14","C"
"A1Y1_122_L","A1Y1_122_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_A_3","3309C","RDI","14","C"
"A1Y1_123_L","A1Y1_123_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_B_2","SO4","RDI","14","C"
"A1Y1_124_L","A1Y1_124_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_B_3","SO4","RDI","14","C"
"A1Y1_125_L","A1Y1_125_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_C_2","Ungrafted","RDI","14","C"
"A1Y1_126_L","A1Y1_126_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_C_3","Ungrafted","RDI","14","C"
"A1Y1_127_L","A1Y1_127_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_D_2","1103P","RDI","14","C"
"A1Y1_128_L","A1Y1_128_L","2017","Leaf","Veraison","2017_Veraison_Leaf_14_D_3","1103P","RDI","14","C"
"A1Y1_129_L","A1Y1_129_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_A_2","Ungrafted","None","15","C"
"A1Y1_130_L","A1Y1_130_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_A_3","Ungrafted","None","15","C"
"A1Y1_131_L","A1Y1_131_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_B_2","3309C","None","15","C"
"A1Y1_132_L","A1Y1_132_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_B_3","3309C","None","15","C"
"A1Y1_133_L","A1Y1_133_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_C_2","1103P","None","15","C"
"A1Y1_134_L","A1Y1_134_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_C_3","1103P","None","15","C"
"A1Y1_135_L","A1Y1_135_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_D_2","SO4","None","15","C"
"A1Y1_136_L","A1Y1_136_L","2017","Leaf","Veraison","2017_Veraison_Leaf_15_D_3","SO4","None","15","C"
"A1Y1_137_L","A1Y1_137_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_A_2","1103P","Full","16","C"
"A1Y1_138_L","A1Y1_138_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_A_3","1103P","Full","16","C"
"A1Y1_139_L","A1Y1_139_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_B_2","Ungrafted","Full","16","C"
"A1Y1_140_L","A1Y1_140_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_B_3","Ungrafted","Full","16","C"
"A1Y1_141_L","A1Y1_141_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_C_2","SO4","Full","16","C"
"A1Y1_142_L","A1Y1_142_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_C_3","SO4","Full","16","C"
"A1Y1_143_L","A1Y1_143_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_D_2","3309C","Full","16","C"
"A1Y1_144_L","A1Y1_144_L","2017","Leaf","Veraison","2017_Veraison_Leaf_16_D_3","3309C","Full","16","C"
"A1Y1_145_L","A1Y1_145_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_A_2","1103P","None","8","A"
"A1Y1_146_L","A1Y1_146_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_A_3","1103P","None","8","A"
"A1Y1_147_L","A1Y1_147_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_B_2","3309C","None","8","A"
"A1Y1_148_L","A1Y1_148_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_B_3","3309C","None","8","A"
"A1Y1_149_L","A1Y1_149_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_C_2","SO4","None","8","A"
"A1Y1_150_L","A1Y1_150_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_C_3","SO4","None","8","A"
"A1Y1_151_L","A1Y1_151_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_D_2","Ungrafted","None","8","A"
"A1Y1_152_L","A1Y1_152_L","2017","Leaf","Harvest","2017_Harvest_Leaf_8_D_3","Ungrafted","None","8","A"
"A1Y1_153_L","A1Y1_153_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_154_L","A1Y1_154_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_155_L","A1Y1_155_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_B_2","1103P","RDI","9","A"
"A1Y1_156_L","A1Y1_156_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_B_3","1103P","RDI","9","A"
"A1Y1_157_L","A1Y1_157_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_C_2","3309C","RDI","9","A"
"A1Y1_158_L","A1Y1_158_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_C_3","3309C","RDI","9","A"
"A1Y1_159_L","A1Y1_159_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_D_2","SO4","RDI","9","A"
"A1Y1_160_L","A1Y1_160_L","2017","Leaf","Harvest","2017_Harvest_Leaf_9_D_3","SO4","RDI","9","A"
"A1Y1_161_L","A1Y1_161_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_A_2","3309C","Full","10","A"
"A1Y1_162_L","A1Y1_162_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_A_3","3309C","Full","10","A"
"A1Y1_164_L","A1Y1_164_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_B_3","SO4","Full","10","A"
"A1Y1_165_L","A1Y1_165_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_C_2","Ungrafted","Full","10","A"
"A1Y1_166_L","A1Y1_166_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_C_3","Ungrafted","Full","10","A"
"A1Y1_167_L","A1Y1_167_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_D_2","1103P","Full","10","A"
"A1Y1_168_L","A1Y1_168_L","2017","Leaf","Harvest","2017_Harvest_Leaf_10_D_3","1103P","Full","10","A"
"A1Y1_169_L","A1Y1_169_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_A_2","3309C","RDI","11","B"
"A1Y1_170_L","A1Y1_170_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_A_3","3309C","RDI","11","B"
"A1Y1_171_L","A1Y1_171_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_B_2","1103P","RDI","11","B"
"A1Y1_172_L","A1Y1_172_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_B_3","1103P","RDI","11","B"
"A1Y1_173_L","A1Y1_173_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_174_L","A1Y1_174_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_C_3","Ungrafted","RDI","11","B"
"A1Y1_175_L","A1Y1_175_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_D_2","SO4","RDI","11","B"
"A1Y1_176_L","A1Y1_176_L","2017","Leaf","Harvest","2017_Harvest_Leaf_11_D_3","SO4","RDI","11","B"
"A1Y1_177_L","A1Y1_177_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_A_2","1103P","Full","12","B"
"A1Y1_178_L","A1Y1_178_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_A_3","1103P","Full","12","B"
"A1Y1_179_L","A1Y1_179_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_B_2","Ungrafted","Full","12","B"
"A1Y1_180_L","A1Y1_180_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_B_3","Ungrafted","Full","12","B"
"A1Y1_181_L","A1Y1_181_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_C_2","SO4","Full","12","B"
"A1Y1_182_L","A1Y1_182_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_C_3","SO4","Full","12","B"
"A1Y1_183_L","A1Y1_183_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_D_2","3309C","Full","12","B"
"A1Y1_184_L","A1Y1_184_L","2017","Leaf","Harvest","2017_Harvest_Leaf_12_D_3","3309C","Full","12","B"
"A1Y1_185_L","A1Y1_185_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_A_2","SO4","None","13","B"
"A1Y1_186_L","A1Y1_186_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_A_3","SO4","None","13","B"
"A1Y1_187_L","A1Y1_187_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_B_2","3309C","None","13","B"
"A1Y1_188_L","A1Y1_188_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_B_3","3309C","None","13","B"
"A1Y1_189_L","A1Y1_189_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_C_2","1103P","None","13","B"
"A1Y1_190_L","A1Y1_190_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_C_3","1103P","None","13","B"
"A1Y1_191_L","A1Y1_191_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_D_2","Ungrafted","None","13","B"
"A1Y1_192_L","A1Y1_192_L","2017","Leaf","Harvest","2017_Harvest_Leaf_13_D_3","Ungrafted","None","13","B"
"A1Y1_193_L","A1Y1_193_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_A_2","3309C","RDI","14","C"
"A1Y1_194_L","A1Y1_194_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_A_3","3309C","RDI","14","C"
"A1Y1_195_L","A1Y1_195_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_B_2","SO4","RDI","14","C"
"A1Y1_196_L","A1Y1_196_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_B_3","SO4","RDI","14","C"
"A1Y1_197_L","A1Y1_197_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_C_2","Ungrafted","RDI","14","C"
"A1Y1_198_L","A1Y1_198_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_C_3","Ungrafted","RDI","14","C"
"A1Y1_199_L","A1Y1_199_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_D_2","1103P","RDI","14","C"
"A1Y1_200_L","A1Y1_200_L","2017","Leaf","Harvest","2017_Harvest_Leaf_14_D_3","1103P","RDI","14","C"
"A1Y1_201_L","A1Y1_201_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_A_2","Ungrafted","None","15","C"
"A1Y1_202_L","A1Y1_202_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_A_3","Ungrafted","None","15","C"
"A1Y1_203_L","A1Y1_203_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_B_2","3309C","None","15","C"
"A1Y1_204_L","A1Y1_204_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_B_3","3309C","None","15","C"
"A1Y1_205_L","A1Y1_205_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_C_2","1103P","None","15","C"
"A1Y1_206_L","A1Y1_206_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_C_3","1103P","None","15","C"
"A1Y1_207_L","A1Y1_207_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_D_2","SO4","None","15","C"
"A1Y1_208_L","A1Y1_208_L","2017","Leaf","Harvest","2017_Harvest_Leaf_15_D_3","SO4","None","15","C"
"A1Y1_209_L","A1Y1_209_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_A_2","1103P","Full","16","C"
"A1Y1_210_L","A1Y1_210_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_A_3","1103P","Full","16","C"
"A1Y1_211_L","A1Y1_211_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_B_2","Ungrafted","Full","16","C"
"A1Y1_212_L","A1Y1_212_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_B_3","Ungrafted","Full","16","C"
"A1Y1_213_L","A1Y1_213_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_C_2","SO4","Full","16","C"
"A1Y1_214_L","A1Y1_214_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_C_3","SO4","Full","16","C"
